order_id,customer_id,order_date
169,135,2023-05-10
170,446,2023-06-06
171,488,2023-09-07
172,213,2023-01-07
173,151,2023-03-25
174,325,2023-05-29
175,25,2023-03-01
176,221,2023-08-09
177,475,2023-11-10
178,112,2023-05-23
179,183,2023-12-01
180,369,2023-10-17
181,254,2023-10-22
182,145,2023-11-08
183,132,2023-12-12
184,89,2023-06-15
185,74,2023-06-30
186,49,2023-07-23
187,183,2023-09-25
188,382,2023-10-18
189,357,2023-04-09
190,203,2023-08-19
191,77,2023-09-04
192,498,2023-12-24
193,125,2023-01-20
194,374,2023-11-24
195,127,2023-02-10
196,380,2023-02-06
197,20,2023-09-23
198,260,2023-08-30
199,292,2023-09-05
200,359,2023-06-17
201,470,2023-09-24
202,408,2023-03-29
203,289,2023-12-29
204,255,2023-07-23
205,7,2023-07-17
206,283,2023-10-15
207,426,2023-08-19
208,85,2023-10-31
209,302,2023-07-11
210,27,2023-07-08
211,421,2023-06-30
212,225,2023-05-02
213,353,2023-11-27
214,340,2023-10-07
215,156,2023-02-15
216,227,2023-07-02
217,100,2023-03-24
218,69,2023-08-15
219,477,2023-01-24
220,489,2023-07-06
221,291,2023-06-22
222,497,2023-03-30
223,292,2023-09-09
224,245,2023-01-05
225,295,2023-04-30
226,453,2023-11-09
227,31,2023-08-16
228,336,2023-03-25
229,261,2023-04-17
230,205,2023-08-27
231,64,2023-06-11
232,135,2023-03-12
233,87,2023-06-18
234,68,2023-04-03
235,413,2023-11-13
236,272,2023-06-07
237,120,2023-10-11
238,362,2023-08-07
239,240,2023-08-23
240,262,2023-10-10
241,160,2023-03-28
242,267,2023-11-12
243,260,2023-06-08
244,304,2023-04-16
245,145,2023-12-11
246,80,2023-12-16
247,4,2023-06-24
248,61,2023-08-06
249,195,2024-01-01
250,336,2023-09-20
251,377,2023-04-02
252,317,2023-08-14
253,231,2023-10-01
254,227,2023-07-06
255,428,2023-04-16
256,28,2023-02-13
257,370,2023-02-24
258,50,2023-10-03
259,199,2023-03-12
260,228,2023-07-23
261,94,2023-09-01
262,230,2023-09-25
263,437,2023-10-31
264,19,2023-10-28
265,100,2023-10-30
266,231,2023-09-08
267,200,2023-05-29
268,468,2023-06-28
269,398,2023-03-30
270,432,2023-11-03
271,140,2023-04-03
272,450,2023-01-15
273,285,2023-02-01
274,409,2023-12-10
275,34,2023-10-09
276,118,2023-08-17
277,436,2023-06-13
278,227,2023-06-21
279,456,2023-02-22
280,199,2023-01-28
281,383,2023-08-28
282,143,2023-07-29
283,239,2023-06-19
284,260,2023-02-19
285,85,2023-07-25
286,278,2023-08-07
287,453,2023-11-11
288,380,2023-09-02
289,259,2023-03-18
290,164,2023-03-16
291,180,2023-03-12
292,313,2023-04-10
293,116,2023-04-21
294,455,2023-08-21
295,333,2023-03-21
296,53,2023-12-24
297,53,2023-08-06
298,27,2023-08-21
299,78,2023-07-11
300,287,2023-06-14
301,481,2023-05-24
302,204,2023-01-08
303,199,2023-09-07
304,367,2023-08-17
305,155,2023-12-31
306,156,2023-11-26
307,298,2023-07-18
308,161,2023-05-29
309,90,2023-02-21
310,251,2023-04-03
311,229,2023-03-20
312,235,2023-02-24
313,276,2023-03-05
314,275,2023-06-13
315,162,2023-09-11
316,488,2023-12-13
317,287,2023-11-22
318,175,2023-10-25
319,164,2023-10-15
320,304,2023-08-25
321,166,2023-09-06
322,354,2023-07-21
323,422,2023-10-02
324,465,2023-04-22
325,86,2023-05-04
326,275,2023-04-13
327,440,2023-11-01
328,478,2023-05-06
329,27,2023-06-14
330,464,2023-11-14
331,389,2023-02-01
332,169,2023-08-03
333,483,2023-01-16
334,177,2023-07-04
335,186,2023-11-04
336,305,2023-12-05
337,447,2023-07-29
338,108,2023-05-28
339,465,2023-04-25
340,161,2023-07-23
341,358,2023-07-16
342,343,2023-03-31
343,5,2023-07-19
344,334,2023-06-29
345,310,2023-11-12
346,430,2023-04-24
347,120,2023-02-03
348,422,2023-11-10
349,164,2023-07-16
350,105,2023-12-30
351,447,2023-05-31
352,50,2023-08-11
353,3,2023-06-29
354,48,2023-07-28
355,488,2023-03-20
356,58,2023-10-01
357,405,2023-04-02
358,386,2023-06-24
359,74,2023-07-12
360,224,2023-06-16
361,278,2023-11-23
362,484,2023-12-25
363,268,2023-05-22
364,483,2023-04-17
365,100,2023-03-23
366,85,2023-10-03
367,83,2023-03-17
368,62,2023-08-15
369,300,2023-09-25
370,67,2023-08-09
371,69,2023-06-20
372,311,2023-12-26
373,349,2023-06-12
374,305,2023-03-12
375,11,2023-07-03
376,399,2023-03-31
377,116,2023-05-01
378,355,2023-09-12
379,304,2023-09-08
380,18,2023-11-30
381,46,2023-03-10
382,273,2023-08-29
383,290,2023-03-15
384,108,2023-07-04
385,363,2023-03-12
386,144,2023-06-28
387,34,2023-07-16
388,244,2023-01-16
389,271,2023-08-25
390,455,2023-04-11
391,369,2023-05-04
392,106,2023-12-19
393,466,2023-01-03
394,370,2023-12-23
395,156,2023-01-22
396,137,2023-09-23
397,97,2023-02-06
398,409,2023-02-24
399,417,2023-02-26
400,444,2023-07-24
401,170,2023-02-23
402,229,2023-10-23
403,268,2023-12-30
404,334,2023-09-05
405,342,2023-05-24
406,74,2023-08-09
407,191,2023-11-28
408,179,2023-07-16
409,211,2023-08-12
410,189,2023-10-09
411,473,2023-04-16
412,101,2023-02-03
413,75,2023-05-02
414,123,2023-01-11
415,124,2023-12-09
416,202,2023-08-22
417,402,2023-11-12
418,226,2023-10-18
419,49,2023-01-28
420,89,2023-09-27
421,4,2023-01-23
422,221,2023-05-23
423,213,2023-03-09
424,441,2023-05-01
425,356,2023-12-05
426,192,2023-08-01
427,399,2023-06-25
428,300,2023-01-25
429,260,2023-08-21
430,67,2023-12-19
431,471,2023-09-25
432,187,2023-10-27
433,31,2023-06-28
434,61,2023-05-06
435,326,2023-11-24
436,64,2023-08-12
437,487,2023-03-18
438,413,2023-01-10
439,188,2023-03-08
440,78,2023-05-28
441,13,2023-08-30
442,327,2023-01-14
443,248,2023-02-04
444,385,2023-10-29
445,221,2023-02-17
446,241,2023-10-06
447,309,2023-09-14
448,50,2023-03-07
449,276,2023-12-12
450,362,2023-07-21
451,330,2023-11-05
452,279,2023-07-29
453,124,2023-09-25
454,195,2023-09-02
455,427,2023-06-12
456,225,2023-03-01
457,35,2023-04-18
458,304,2023-11-09
459,444,2023-12-24
460,190,2023-02-23
461,50,2023-07-01
462,55,2023-04-11
463,57,2023-12-20
464,335,2023-10-30
465,45,2023-01-02
466,263,2023-08-10
467,467,2023-05-01
468,47,2023-06-07
469,250,2023-11-10
470,32,2023-10-21
471,220,2023-10-14
472,153,2023-07-20
473,322,2023-01-21
474,344,2023-11-01
475,15,2023-05-22
476,466,2023-11-14
477,245,2023-08-13
478,113,2023-05-18
479,466,2023-06-14
480,397,2023-09-02
481,227,2023-10-01
482,29,2023-05-18
483,264,2023-03-30
484,382,2023-12-28
485,225,2023-08-22
486,152,2023-10-27
487,303,2023-04-04
488,165,2023-09-19
489,499,2023-12-04
490,204,2023-12-08
491,355,2023-07-31
492,351,2023-10-14
493,306,2023-07-23
494,245,2023-11-19
495,113,2023-06-06
496,9,2023-02-02
497,76,2023-09-10
498,499,2023-03-01
499,424,2023-07-04
500,133,2023-06-08
